time=1579666030.4431264,count=0 
time=1579666030.5433884,count=0 
time=1579666030.6398802,count=0 
time=1579666030.7326722,count=0 
time=1579666030.8262162,count=0 
time=1579666030.9237733,count=0 
time=1579666031.0196958,count=0 
time=1579666031.1169283,count=0 
time=1579666031.2079465,count=0 
time=1579666031.2988105,count=0 
time=1579666031.387264,count=0 
time=1579666031.4797328,count=0 
time=1579666031.5749462,count=0 
time=1579666031.6731026,count=0 
time=1579666031.7722719,count=0 
time=1579666031.8662305,count=0 
time=1579666031.9640548,count=0 
time=1579666032.0585825,count=0 
time=1579666032.1554291,count=0 
time=1579666032.2552147,count=0 
time=1579666032.3503172,count=1 
time=1579666032.4437003,count=1 
time=1579666032.543951,count=1 
time=1579666032.6432097,count=1 
time=1579666032.7384531,count=1 
time=1579666032.8422177,count=1 
time=1579666032.9366615,count=1 
time=1579666033.031457,count=1 
time=1579666033.1287487,count=1 
time=1579666033.2258253,count=1 
time=1579666033.322426,count=2 
time=1579666033.4176998,count=2 
time=1579666033.511366,count=2 
time=1579666033.607664,count=2 
time=1579666033.7020116,count=2 
time=1579666033.795676,count=2 
time=1579666033.8869033,count=2 
time=1579666033.98725,count=2 
time=1579666034.0829084,count=3 
time=1579666034.1797538,count=3 
time=1579666034.2765205,count=3 
time=1579666034.371753,count=3 
time=1579666034.4632537,count=3 
time=1579666034.5563056,count=3 
time=1579666034.6492574,count=3 
time=1579666034.7464912,count=3 
time=1579666034.8409917,count=3 
time=1579666034.9357781,count=3 
time=1579666035.0327404,count=3 
time=1579666035.1263204,count=4 
time=1579666035.2209382,count=5 
time=1579666035.3134382,count=5 
time=1579666035.4097242,count=5 
time=1579666035.5050461,count=5 
time=1579666035.5975814,count=5 
time=1579666035.695777,count=5 
time=1579666035.7948546,count=5 
time=1579666035.8871226,count=5 
time=1579666035.98252,count=5 
time=1579666036.0767672,count=5 
time=1579666036.1760054,count=5 
time=1579666036.2672803,count=5 
time=1579666036.3634448,count=5 
time=1579666036.457445,count=5 
time=1579666036.5510237,count=5 
time=1579666036.6495132,count=5 
time=1579666036.7433372,count=5 
time=1579666036.8408208,count=6 
time=1579666036.9358592,count=7 
time=1579666037.0301168,count=7 
time=1579666037.1236398,count=7 
time=1579666037.2192936,count=7 
time=1579666037.316384,count=7 
time=1579666037.416119,count=7 
time=1579666037.5138016,count=7 
time=1579666037.6097026,count=7 
time=1579666037.702611,count=7 
time=1579666037.8020554,count=7 
time=1579666037.8918815,count=7 
time=1579666037.9870613,count=7 
time=1579666038.083343,count=8 
time=1579666038.181811,count=8 
time=1579666038.2808094,count=8 
time=1579666038.374902,count=8 
time=1579666038.4689126,count=8 
time=1579666038.563008,count=8 
time=1579666038.6587293,count=8 
time=1579666038.7516153,count=8 
time=1579666038.8460104,count=8 
time=1579666038.9375072,count=8 
time=1579666039.0390248,count=8 
time=1579666039.138405,count=8 
time=1579666039.2334266,count=8 
time=1579666039.3293326,count=8 
time=1579666039.424982,count=8 
time=1579666039.5195835,count=8 
time=1579666039.6134305,count=8 
time=1579666039.7063756,count=8 
time=1579666039.8046687,count=9 
time=1579666039.903142,count=9 
time=1579666039.9990199,count=10 
time=1579666040.094765,count=11 
time=1579666040.1890745,count=11 
time=1579666040.2856474,count=11 
time=1579666040.3812249,count=11 
time=1579666040.476175,count=12 
